X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,LINE,ADDRESS,TRAININFO_URL
-77.0325544130882,38.9278457591968,1,mstn_007,Columbia Heights,https://www.wmata.com/rider-guide/stations/columbia-hghts.cfm,"green, yellow",3030 14TH STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#E04|Columbia Heights
-77.0234631972137,38.9374424240913,2,mstn_020,Georgia Ave Petworth,https://www.wmata.com/rider-guide/stations/georgia-ave.cfm,"green, yellow",3700 GEORGIA AVENUE NW,https://www.wmata.com/js/nexttrain/nexttrain.html#E05|Georgia Ave-Petworth
-77.0181789925646,38.9760863329932,3,mstn_034,Takoma,https://www.wmata.com/rider-guide/stations/takoma.cfm,red,327 CEDAR STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#B07|Takoma
-76.9945365689642,38.9332187855285,4,mstn_004,Brookland-CUA,https://www.wmata.com/rider-guide/stations/brookland.cfm,red,801 MICHIGAN AVENUE NE,https://www.wmata.com/js/nexttrain/nexttrain.html#B05|Brookland-CUA
-77.002205364201,38.9518545652333,5,mstn_017,Fort Totten,https://www.wmata.com/rider-guide/stations/fort-totten.cfm,"red, green, yellow",550 GALLOWAY STREET NE,"https://www.wmata.com/js/nexttrain/nexttrain.html#B06,E06|Fort Totten"
-76.9383671319143,38.8909834637517,6,mstn_003,Benning Road,https://www.wmata.com/rider-guide/stations/benning-rd.cfm,"blue, orange, silver",4500 BENNING ROAD NE,https://www.wmata.com/js/nexttrain/nexttrain.html#G01|Benning Road
-76.9352590469192,38.9081862878525,7,mstn_009,Deanwood,https://www.wmata.com/rider-guide/stations/deanwood.cfm,orange,4720 MINNESOTA AVENUE NE,https://www.wmata.com/js/nexttrain/nexttrain.html#D10|Deanwood
-77.0030227321829,38.9070240007289,8,mstn_028,NoMa - Gallaudet U,https://www.wmata.com/rider-guide/stations/new-york-ave.cfm,red,200 FLORIDA AVENUE NE,https://www.wmata.com/js/nexttrain/nexttrain.html#B35|NoMa-Gallaudet U
-77.0795896368441,38.9488592292932,9,mstn_035,Tenleytown-AU,https://www.wmata.com/rider-guide/stations/tenleytown.cfm,red,4501 WISCONSIN AVENUE NW,https://www.wmata.com/js/nexttrain/nexttrain.html#A07|Tenleytown-AU
-77.084998118688,38.9594916697622,10,mstn_018,Friendship Heights,https://www.wmata.com/rider-guide/stations/friendship-hghts.cfm,red,5337 WISCONSIN AVENUE NW,https://www.wmata.com/js/nexttrain/nexttrain.html#A08|Friendship Heights
-77.0502800382973,38.9007057947685,11,mstn_016,Foggy Bottom-GWU,https://www.wmata.com/rider-guide/stations/foggy-bottom.cfm,"blue, orange, silver",2301 I STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#C04|Foggy Bottom-GWU
