X,Y,OBJECTID,DROP_SITE,ADDRESS,FACILITY_TYPE,NOTE,MAR_WARD,STATUS,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,GlobalID,CreationDate,HOURS,DATES_AVAILABLE
-77.03233527,38.91756721,1,Frank D. Reeves Center,2000 14th Street NW,Government,,Ward 1,Active,2000 14TH STREET NW,397180.22,138856.14,38.9175693,-77.03251498,4300,20009,239976,{197BF857-D503-4659-909B-9FE72A48EF15},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.0371446,38.93046772,2,Mt. Pleasant Library,3160 16th Street NW,Library,,Ward 1,Active,3160 16TH STREET NW,396779.31,140288.09,38.93046772,-77.0371446,2702,20010,295138,{CA7A6E8A-0947-4525-82F1-66155F2A80BF},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.03298372,38.92930077,3,Columbia Heights Shopping Center,3100 14th Street NW,Business,,Ward 1,Active,3100 14TH STREET NW,397140.04,140158.41,38.92930077,-77.03298372,2802,20010,306304,{58CCD826-099F-4EF6-8C50-9F571DBCD3F7},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.04286488,38.92215973,4,Sun Trust Bank (Park Area),1800 Columbia Road NW,Business,,Ward 1,Active,1800 COLUMBIA ROAD NW,396282.89,139366.05,38.92215973,-77.04286488,4002,20009,235413,{D11AAAA8-D415-4E33-8395-D4FE981D26F9},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.02258308,38.92270429,5,Banneker Community Center,2500 Georgia Avenue NW,Recreation Center,,Ward 1,Active,2500 GEORGIA AVENUE NW,398041.68,139425.87,38.92270429,-77.02258308,3500,20001,232292,{7EF0676E-A434-4A12-A12F-2C3139F23980},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.06601466,38.91340152,6,Georgetown Library,3260 R Street NW,Library,,Ward 2,Active,3260 R STREET NW,394274.71,138395.05,38.91340152,-77.06601466,100,20007,295142,{2D2BD1FE-EA3C-4E12-B0C4-F82082A71D24},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.02476625,38.89869166,7,Martin Luther King Jr. Library,901 G Street NW,Library,,Ward 2,Active,901 G STREET NW,397851.64,136760.32,38.89869166,-77.02476625,5800,20001,239815,{40CBF6FB-E42A-4D9B-A589-33E878A66EAD},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.05062968,38.90396584,8,West End Library,2301 L Street NW,Library,,Ward 2,Active,2301 L STREET NW,395608.43,137346.76,38.90396584,-77.05062968,5500,20037,242337,{72EF0984-AA6B-45DA-B5F0-181FFF87E35E},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.0712921,38.92215476,9,Guy Mason Recreation Center,3600 Calvert Street NW,Recreation Center,,Ward 3,Active,3600 CALVERT STREET NW,393825.91,139366.57,38.92215059,-77.07119822,400,20007,295826,{8980662E-39DC-42AF-9E17-316C13258850},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.03756352,38.91014741,10,Stead Recreation Center,1625 P Street NW,Recreation Center,,Ward 2,Active,1625 P STREET NW,396737.09,138018.79,38.91002497,-77.03762074,5301,20036,295822,{8FDD7A32-B733-4385-9AA0-02A87EDE2006},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.07542972,38.96557557,11,Chevy Chase Library,5625 Connecticut Avenue NW,Library,,Ward 3,Active,5625 CONNECTICUT AVENUE NW,393462.95,144187.46,38.96557557,-77.07542972,1401,20015,263960,{48EABD11-96DA-4491-9C38-947D1145595C},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.07994743,38.94760729,12,Tenley-Friendship Library,4450 Wisconsin Avenue NW,Library,,Ward 3,Active,4450 WISCONSIN AVENUE NW,393069.68,142193.15,38.94760729,-77.07994743,1001,20016,284921,{47B4A31B-F9D5-4733-B6C0-9098F9523379},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.09717464,38.9183818,13,Cleveland Park Library,4901 V Street NW,Library,,Ward 3,Active,4901 V STREET NW,391572.87,138950.28,38.9183818,-77.09717464,801,20007,224474,{2CAA8786-E4FC-4318-BC90-20E159753F7C},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.09717464,38.9183818,14,Palisades Library,4901 V Street NW,Library,,Ward 3,Active,4901 V STREET NW,391572.87,138950.28,38.9183818,-77.09717464,801,20007,224474,{61771316-F3BF-4016-BE4C-0C5182D575DA},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.07483805,38.93484617,15,Second District Police Station,3320 Idaho Avenue NW,Police Station,,Ward 3,Active,3320 IDAHO AVENUE NW,393511.43,140776.14,38.93484617,-77.07483805,1002,20016,222229,{0624592E-2C77-4C73-868E-9D8136AD11E1},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.01756889,38.97503585,16,Takoma Metro,327 Cedar Street NW,Metro Station,,Ward 4,Active,327 CEDAR STREET NW,398477.61,145235.05,38.97503585,-77.01756889,1702,20012,294822,{C2DF95AD-56E5-4C80-9A9F-9CBD6936A176},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.02613743,38.94220022,17,Petworth Library,4200 Kansas Avenue NW,Library,,Ward 4,Active,4200 KANSAS AVENUE NW,397734.08,141590.17,38.94220022,-77.02613743,2501,20011,295146,{C8AB2A4E-8EE5-4BB7-A5DC-71AE1C022682},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.02700556,38.98029047,18,Shephard Park (Juanita E. Thornton) Library,7420 Georgia Avenue NW,Library,,Ward 4,Active,7420 GEORGIA AVENUE NW,397660.07,145818.6,38.98029047,-77.02700556,1600,20012,253522,{6ECE2E5B-D47F-4D90-BBC8-FF706C09FA28},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.02741098,38.96312578,19,Fourth District Police Station,6001 Georgia Avenue NW,Police Station,,Ward 4,Active,6001 GEORGIA AVENUE NW,397624.37,143913.13,38.96312578,-77.02741098,1901,20011,243485,{DF54C13B-C8B9-499D-ABD8-67D672FAEDD6},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
